,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2007-12-10,8.039995226157853,8.264762377473769,9.46138714599272,8.039995226157853,8.039995226157853,0.8030721017434866,0.8030721017434866,0.8030721017434866,0.35228492814527684,0.35228492814527684,0.35228492814527684,0.4507871735982098,0.4507871735982098,0.4507871735982098,0.0,0.0,0.0,8.84306732790134
1,2007-12-11,8.03845526844161,7.970193778527644,9.185644832312784,8.03845526844161,8.03845526844161,0.55316400302003,0.55316400302003,0.55316400302003,0.11963979139329864,0.11963979139329864,0.11963979139329864,0.4335242116267314,0.4335242116267314,0.4335242116267314,0.0,0.0,0.0,8.591619271461639
2,2007-12-12,8.036915310725368,7.753567441617018,8.978801628407961,8.036915310725368,8.036915310725368,0.35053546824724563,0.35053546824724563,0.35053546824724563,-0.0666608348301718,-0.0666608348301718,-0.0666608348301718,0.4171963030774174,0.4171963030774174,0.4171963030774174,0.0,0.0,0.0,8.387450778972614
3,2007-12-13,8.035375353009124,7.728729539823304,8.98772774244103,8.035375353009124,8.035375353009124,0.32998011612328093,0.32998011612328093,0.32998011612328093,-0.07226757607851611,-0.07226757607851611,-0.07226757607851611,0.40224769220179707,0.40224769220179707,0.40224769220179707,0.0,0.0,0.0,8.365355469132405
4,2007-12-14,8.033835395292881,7.745852553323874,8.983573463812418,8.033835395292881,8.033835395292881,0.31950624886069606,0.31950624886069606,0.31950624886069606,-0.06957836486490969,-0.06957836486490969,-0.06957836486490969,0.38908461372560577,0.38908461372560577,0.38908461372560577,0.0,0.0,0.0,8.353341644153577
5,2007-12-15,8.03229543757664,7.486009026007354,8.7186465857703,8.03229543757664,8.03229543757664,0.06635166346669376,0.06635166346669376,0.06635166346669376,-0.31171475928296416,-0.31171475928296416,-0.31171475928296416,0.3780664227496579,0.3780664227496579,0.3780664227496579,0.0,0.0,0.0,8.098647101043333
6,2007-12-16,8.030755479860396,7.845122343789866,9.096266791528098,8.030755479860396,8.030755479860396,0.4177951317101783,0.4177951317101783,0.4177951317101783,0.048296815519432046,0.048296815519432046,0.048296815519432046,0.36949831619074625,0.36949831619074625,0.36949831619074625,0.0,0.0,0.0,8.448550611570575
7,2007-12-17,8.029215522144153,8.067652216097443,9.360901541179324,8.029215522144153,8.029215522144153,0.7159107429842975,0.7159107429842975,0.7159107429842975,0.3522849281451634,0.3522849281451634,0.3522849281451634,0.3636258148391342,0.3636258148391342,0.3636258148391342,0.0,0.0,0.0,8.74512626512845
8,2007-12-18,8.02767556442791,7.926181192819711,9.14049631906841,8.02767556442791,8.02767556442791,0.48027090902279385,0.48027090902279385,0.48027090902279385,0.11963979139295831,0.11963979139295831,0.11963979139295831,0.3606311176298356,0.3606311176298356,0.3606311176298356,0.0,0.0,0.0,8.507946473450703
9,2007-12-19,8.026135606711668,7.7008024923358676,8.930457527146302,8.026135606711668,8.026135606711668,0.293970544749837,0.293970544749837,0.293970544749837,-0.06666083483015307,-0.06666083483015307,-0.06666083483015307,0.3606313795799901,0.3606313795799901,0.3606313795799901,0.0,0.0,0.0,8.320106151461504
10,2007-12-20,8.024595648995424,7.714616941002741,8.944550314520663,8.024595648995424,8.024595648995424,0.291411327850649,0.291411327850649,0.291411327850649,-0.07226757607848025,-0.07226757607848025,-0.07226757607848025,0.3636789039291292,0.3636789039291292,0.3636789039291292,0.0,0.0,0.0,8.316006976846074
11,2007-12-21,8.02305569127918,7.706857998720547,8.94525621329697,8.02305569127918,8.02305569127918,0.30018481436301003,0.30018481436301003,0.30018481436301003,-0.06957836486509608,-0.06957836486509608,-0.06957836486509608,0.3697631792281061,0.3697631792281061,0.3697631792281061,0.0,0.0,0.0,8.323240505642191
12,2007-12-22,8.02151573356294,7.433076845773696,8.735139151899133,8.02151573356294,8.02151573356294,0.06709987603001769,0.06709987603001769,0.06709987603001769,-0.3117147592831753,-0.3117147592831753,-0.3117147592831753,0.37881463531319304,0.37881463531319304,0.37881463531319304,0.0,0.0,0.0,8.088615609592956
13,2007-12-23,8.019975775846696,7.8329802409323666,9.072088868039595,8.019975775846696,8.019975775846696,0.43900675554676516,0.43900675554676516,0.43900675554676516,0.0482968155190609,0.0482968155190609,0.0482968155190609,0.3907099400277043,0.3907099400277043,0.3907099400277043,0.0,0.0,0.0,8.458982531393461
14,2007-12-24,8.018435818130454,8.15070876772633,9.370228743762123,8.018435818130454,8.018435818130454,0.7575635409572185,0.7575635409572185,0.7575635409572185,0.3522849281452829,0.3522849281452829,0.3522849281452829,0.4052786128119355,0.4052786128119355,0.4052786128119355,0.0,0.0,0.0,8.775999359087672
15,2007-12-25,8.016895860414209,7.969018491014296,9.18883173485507,8.016895860414209,8.016895860414209,0.5419504846634631,0.5419504846634631,0.5419504846634631,0.11963979139261795,0.11963979139261795,0.11963979139261795,0.42231069327084514,0.42231069327084514,0.42231069327084514,0.0,0.0,0.0,8.558846345077672
16,2007-12-26,8.015355902697967,7.784624578513482,8.990312508622795,8.015355902697967,8.015355902697967,0.374904338862704,0.374904338862704,0.374904338862704,-0.06666083483013437,-0.06666083483013437,-0.06666083483013437,0.4415651736928384,0.4415651736928384,0.4415651736928384,0.0,0.0,0.0,8.390260241560672
17,2007-12-27,8.013815944981726,7.8149106747307595,9.026648101268414,8.013815944981726,8.013815944981726,0.3905113090238427,0.3905113090238427,0.3905113090238427,-0.0722675760788274,-0.0722675760788274,-0.0722675760788274,0.4627788851026701,0.4627788851026701,0.4627788851026701,0.0,0.0,0.0,8.404327254005569
